c_id,c_name,c_id,model_name,transmission,model_name,price
3,Dodge                                                           ,3,Intrepid                                                        ,automatic                                                       ,Intrepid                                                        ,2600
3,Dodge                                                           ,3,Caliber                                                         ,automatic                                                       ,Caliber                                                         ,6699
3,Dodge                                                           ,3,Neon                                                            ,mechanical                                                      ,Neon                                                            ,2500
3,Dodge                                                           ,3,Magnum                                                          ,automatic                                                       ,Magnum                                                          ,6900
3,Dodge                                                           ,3,Avenger                                                         ,automatic                                                       ,Avenger                                                         ,5990
3,Dodge                                                           ,3,Journey                                                         ,automatic                                                       ,Journey                                                         ,9300
3,Dodge                                                           ,3,Durango                                                         ,automatic                                                       ,Durango                                                         ,19900
3,Dodge                                                           ,3,Van                                                             ,automatic                                                       ,Van                                                             ,12500
3,Dodge                                                           ,3,Ram                                                             ,automatic                                                       ,Ram                                                             ,34999
3,Dodge                                                           ,3,Dakota                                                          ,automatic                                                       ,Dakota                                                          ,5500
3,Dodge                                                           ,3,Stealth                                                         ,mechanical                                                      ,Stealth                                                         ,4100
3,Dodge                                                           ,3,Nitro                                                           ,automatic                                                       ,Nitro                                                           ,9900
3,Dodge                                                           ,3,Challenger                                                      ,automatic                                                       ,Challenger                                                      ,25500
3,Dodge                                                           ,3,1500                                                            ,automatic                                                       ,1500                                                            ,35900
3,Dodge                                                           ,3,Charger                                                         ,automatic                                                       ,Charger                                                         ,23900
4,УАЗ                                                             ,4,452                                                             ,mechanical                                                      ,452                                                             ,450
4,УАЗ                                                             ,4,Patriot                                                         ,mechanical                                                      ,Patriot                                                         ,7500
4,УАЗ                                                             ,4,451                                                             ,mechanical                                                      ,451                                                             ,500
4,УАЗ                                                             ,4,31514                                                           ,mechanical                                                      ,31514                                                           ,850
4,УАЗ                                                             ,4,2206                                                            ,mechanical                                                      ,2206                                                            ,1000
4,УАЗ                                                             ,4,3741                                                            ,mechanical                                                      ,3741                                                            ,379
4,УАЗ                                                             ,4,3303                                                            ,mechanical                                                      ,3303                                                            ,2999
4,УАЗ                                                             ,4,39099                                                           ,mechanical                                                      ,39099                                                           ,3990
4,УАЗ                                                             ,4,469                                                             ,automatic                                                       ,469                                                             ,1500
4,УАЗ                                                             ,4,31512                                                           ,mechanical                                                      ,31512                                                           ,2000
4,УАЗ                                                             ,4,Hunter                                                          ,mechanical                                                      ,Hunter                                                          ,10500
4,УАЗ                                                             ,4,3962                                                            ,mechanical                                                      ,3962                                                            ,3000
4,УАЗ                                                             ,4,3151                                                            ,mechanical                                                      ,3151                                                            ,2500
5,Kia                                                             ,5,Cerato                                                          ,mechanical                                                      ,Cerato                                                          ,6000
5,Kia                                                             ,5,Cee'd                                                           ,mechanical                                                      ,Cee'd                                                           ,5450
5,Kia                                                             ,5,Sportage                                                        ,automatic                                                       ,Sportage                                                        ,12450
5,Kia                                                             ,5,Magentis                                                        ,mechanical                                                      ,Magentis                                                        ,5700
5,Kia                                                             ,5,Rio                                                             ,mechanical                                                      ,Rio                                                             ,2500
5,Kia                                                             ,5,Sorento                                                         ,automatic                                                       ,Sorento                                                         ,18999
5,Kia                                                             ,5,Optima                                                          ,automatic                                                       ,Optima                                                          ,12900
5,Kia                                                             ,5,Clarus                                                          ,mechanical                                                      ,Clarus                                                          ,331
5,Kia                                                             ,5,Carens                                                          ,mechanical                                                      ,Carens                                                          ,5500
5,Kia                                                             ,5,Carnival                                                        ,automatic                                                       ,Carnival                                                        ,2700
5,Kia                                                             ,5,Avella                                                          ,mechanical                                                      ,Avella                                                          ,500
5,Kia                                                             ,5,Retona                                                          ,mechanical                                                      ,Retona                                                          ,4742
5,Kia                                                             ,5,Sephia                                                          ,mechanical                                                      ,Sephia                                                          ,500
5,Kia                                                             ,5,Spectra                                                         ,mechanical                                                      ,Spectra                                                         ,11850
5,Kia                                                             ,5,Shuma                                                           ,mechanical                                                      ,Shuma                                                           ,569
5,Kia                                                             ,5,Joice                                                           ,mechanical                                                      ,Joice                                                           ,2000
5,Kia                                                             ,5,Quoris                                                          ,automatic                                                       ,Quoris                                                          ,19999
5,Kia                                                             ,5,Soul                                                            ,automatic                                                       ,Soul                                                            ,12800
5,Kia                                                             ,5,Besta                                                           ,mechanical                                                      ,Besta                                                           ,1800
5,Kia                                                             ,5,Picanto                                                         ,automatic                                                       ,Picanto                                                         ,13900
5,Kia                                                             ,5,Pro Cee'd                                                       ,mechanical                                                      ,Pro Cee'd                                                       ,7400
5,Kia                                                             ,5,Mohave                                                          ,automatic                                                       ,Mohave                                                          ,17800
5,Kia                                                             ,5,Venga                                                           ,mechanical                                                      ,Venga                                                           ,5700
5,Kia                                                             ,5,Sedona                                                          ,automatic                                                       ,Sedona                                                          ,2950
5,Kia                                                             ,5,Pregio                                                          ,mechanical                                                      ,Pregio                                                          ,2500
5,Kia                                                             ,5,Pride                                                           ,mechanical                                                      ,Pride                                                           ,500
6,Opel                                                            ,6,Corsa                                                           ,mechanical                                                      ,Corsa                                                           ,7990
6,Opel                                                            ,6,Insignia                                                        ,mechanical                                                      ,Insignia                                                        ,7750
6,Opel                                                            ,6,Omega                                                           ,mechanical                                                      ,Omega                                                           ,2100
6,Opel                                                            ,6,Zafira                                                          ,mechanical                                                      ,Zafira                                                          ,4250
6,Opel                                                            ,6,Vectra                                                          ,mechanical                                                      ,Vectra                                                          ,2250
6,Opel                                                            ,6,Signum                                                          ,automatic                                                       ,Signum                                                          ,5600
6,Opel                                                            ,6,Astra                                                           ,mechanical                                                      ,Astra                                                           ,5999
6,Opel                                                            ,6,Meriva                                                          ,mechanical                                                      ,Meriva                                                          ,3999
6,Opel                                                            ,6,Monterey                                                        ,mechanical                                                      ,Monterey                                                        ,3300
6,Opel                                                            ,6,Movano                                                          ,mechanical                                                      ,Movano                                                          ,9000
6,Opel                                                            ,6,Vivaro                                                          ,mechanical                                                      ,Vivaro                                                          ,18190
6,Opel                                                            ,6,Mokka                                                           ,mechanical                                                      ,Mokka                                                           ,11700
6,Opel                                                            ,6,Antara                                                          ,mechanical                                                      ,Antara                                                          ,8999
6,Opel                                                            ,6,Combo                                                           ,mechanical                                                      ,Combo                                                           ,4433
6,Opel                                                            ,6,Sintra                                                          ,mechanical                                                      ,Sintra                                                          ,2200
6,Opel                                                            ,6,Agila                                                           ,mechanical                                                      ,Agila                                                           ,4799
6,Opel                                                            ,6,Frontera                                                        ,mechanical                                                      ,Frontera                                                        ,2850
6,Opel                                                            ,6,Kadett                                                          ,automatic                                                       ,Kadett                                                          ,650
6,Opel                                                            ,6,Tigra                                                           ,mechanical                                                      ,Tigra                                                           ,4950
6,Opel                                                            ,6,Calibra                                                         ,mechanical                                                      ,Calibra                                                         ,1000
6,Opel                                                            ,6,Ascona                                                          ,mechanical                                                      ,Ascona                                                          ,474
6,Opel                                                            ,6,Campo                                                           ,mechanical                                                      ,Campo                                                           ,1600
6,Opel                                                            ,6,Cascada                                                         ,automatic                                                       ,Cascada                                                         ,22900
6,Opel                                                            ,6,Rekord                                                          ,mechanical                                                      ,Rekord                                                          ,150
6,Opel                                                            ,6,Commodore                                                       ,mechanical                                                      ,Commodore                                                       ,1000
6,Opel                                                            ,6,Bedford Blitz                                                   ,mechanical                                                      ,Bedford Blitz                                                   ,800
6,Opel                                                            ,6,Grandland X                                                     ,automatic                                                       ,Grandland X                                                     ,18995
6,Opel                                                            ,6,Kapitan                                                         ,mechanical                                                      ,Kapitan                                                         ,8000
6,Opel                                                            ,6,Monza                                                           ,mechanical                                                      ,Monza                                                           ,1565
7,Москвич                                                         ,7,408                                                             ,mechanical                                                      ,408                                                             ,370
7,Москвич                                                         ,7,412                                                             ,mechanical                                                      ,412                                                             ,220
7,Москвич                                                         ,7,2140                                                            ,mechanical                                                      ,2140                                                            ,250
7,Москвич                                                         ,7,2125                                                            ,mechanical                                                      ,2125                                                            ,200
7,Москвич                                                         ,7,2141                                                            ,mechanical                                                      ,2141                                                            ,420
7,Москвич                                                         ,7,410                                                             ,mechanical                                                      ,410                                                             ,1375
7,Москвич                                                         ,7,407                                                             ,mechanical                                                      ,407                                                             ,800
7,Москвич                                                         ,7,401                                                             ,mechanical                                                      ,401                                                             ,2300
7,Москвич                                                         ,7,402                                                             ,mechanical                                                      ,402                                                             ,1000
7,Москвич                                                         ,7,400                                                             ,mechanical                                                      ,400                                                             ,550
7,Москвич                                                         ,7,423 Kombi                                                       ,mechanical                                                      ,423 Kombi                                                       ,149
7,Москвич                                                         ,7,403                                                             ,mechanical                                                      ,403                                                             ,189
8,Alfa Romeo                                                      ,8,159                                                             ,mechanical                                                      ,159                                                             ,10500
8,Alfa Romeo                                                      ,8,155                                                             ,mechanical                                                      ,155                                                             ,1000
8,Alfa Romeo                                                      ,8,156                                                             ,mechanical                                                      ,156                                                             ,2200
8,Alfa Romeo                                                      ,8,GTV                                                             ,mechanical                                                      ,GTV                                                             ,6000
8,Alfa Romeo                                                      ,8,146                                                             ,mechanical                                                      ,146                                                             ,1000
8,Alfa Romeo                                                      ,8,145                                                             ,mechanical                                                      ,145                                                             ,1800
8,Alfa Romeo                                                      ,8,75                                                              ,mechanical                                                      ,75                                                              ,600
8,Alfa Romeo                                                      ,8,166                                                             ,mechanical                                                      ,166                                                             ,3000
8,Alfa Romeo                                                      ,8,GT                                                              ,mechanical                                                      ,GT                                                              ,6200
8,Alfa Romeo                                                      ,8,33                                                              ,mechanical                                                      ,33                                                              ,1000
8,Alfa Romeo                                                      ,8,164                                                             ,mechanical                                                      ,164                                                             ,550
8,Alfa Romeo                                                      ,8,Spider                                                          ,automatic                                                       ,Spider                                                          ,19000
8,Alfa Romeo                                                      ,8,147                                                             ,mechanical                                                      ,147                                                             ,4590
8,Alfa Romeo                                                      ,8,Giulietta                                                       ,mechanical                                                      ,Giulietta                                                       ,8800
8,Alfa Romeo                                                      ,8,Brera                                                           ,mechanical                                                      ,Brera                                                           ,22000
9,Acura                                                           ,9,MDX                                                             ,automatic                                                       ,MDX                                                             ,29000
9,Acura                                                           ,9,SLX                                                             ,automatic                                                       ,SLX                                                             ,4200
9,Acura                                                           ,9,TSX                                                             ,automatic                                                       ,TSX                                                             ,6499
9,Acura                                                           ,9,RDX                                                             ,automatic                                                       ,RDX                                                             ,15800
9,Acura                                                           ,9,ZDX                                                             ,automatic                                                       ,ZDX                                                             ,16250
9,Acura                                                           ,9,TL                                                              ,automatic                                                       ,TL                                                              ,5550
9,Acura                                                           ,9,RSX                                                             ,mechanical                                                      ,RSX                                                             ,7000
9,Acura                                                           ,9,ILX                                                             ,automatic                                                       ,ILX                                                             ,18899
9,Acura                                                           ,9,TLX                                                             ,automatic                                                       ,TLX                                                             ,18000
9,Acura                                                           ,9,Integra                                                         ,mechanical                                                      ,Integra                                                         ,6000
9,Acura                                                           ,9,RL                                                              ,automatic                                                       ,RL                                                              ,8489
9,Acura                                                           ,9,CL                                                              ,automatic                                                       ,CL                                                              ,2350
10,Dacia                                                           ,10,Logan                                                           ,mechanical                                                      ,Logan                                                           ,4200
10,Dacia                                                           ,10,Sandero                                                         ,mechanical                                                      ,Sandero                                                         ,4100
10,Dacia                                                           ,10,Lodgy                                                           ,mechanical                                                      ,Lodgy                                                           ,11950
10,Dacia                                                           ,10,Duster                                                          ,mechanical                                                      ,Duster                                                          ,7600
10,Dacia                                                           ,10,1300                                                            ,mechanical                                                      ,1300                                                            ,1500
11,Lexus                                                           ,11,ES                                                              ,automatic                                                       ,ES                                                              ,9999
11,Lexus                                                           ,11,RX                                                              ,automatic                                                       ,RX                                                              ,20900
11,Lexus                                                           ,11,IS                                                              ,automatic                                                       ,IS                                                              ,6450
11,Lexus                                                           ,11,GS                                                              ,automatic                                                       ,GS                                                              ,10900
11,Lexus                                                           ,11,NX                                                              ,mechanical                                                      ,NX                                                              ,47400
11,Lexus                                                           ,11,LS                                                              ,automatic                                                       ,LS                                                              ,19500
11,Lexus                                                           ,11,CT                                                              ,automatic                                                       ,CT                                                              ,15200
11,Lexus                                                           ,11,LX                                                              ,automatic                                                       ,LX                                                              ,32000
11,Lexus                                                           ,11,SC                                                              ,automatic                                                       ,SC                                                              ,5000
11,Lexus                                                           ,11,GX                                                              ,automatic                                                       ,GX                                                              ,16000
12,Mitsubishi                                                      ,12,ASX                                                             ,automatic                                                       ,ASX                                                             ,10950
12,Mitsubishi                                                      ,12,Colt                                                            ,mechanical                                                      ,Colt                                                            ,1500
12,Mitsubishi                                                      ,12,Carisma                                                         ,mechanical                                                      ,Carisma                                                         ,2250
12,Mitsubishi                                                      ,12,Galant                                                          ,mechanical                                                      ,Galant                                                          ,2100
12,Mitsubishi                                                      ,12,Pajero                                                          ,mechanical                                                      ,Pajero                                                          ,3500
